Accel_X,Accel_Y,Accel_Z,Fall_Indicator,Event_ID,Window_Number
-0.13,-1.41,19.62,0,1,7
2.0,-3.3,19.37,0,1,7
0.45,-7.15,12.77,0,1,7
2.15,-5.7,11.36,0,1,7
3.38,-3.56,9.81,0,1,7
2.12,-2.5,8.25,0,1,7
-0.6,-3.0,6.64,0,1,7
1.19,-2.17,3.84,0,1,7
2.93,-0.33,4.23,0,1,7
1.18,0.48,3.3,0,1,7
0.8,-0.68,2.3,0,1,7
1.31,-2.45,1.09,0,1,7
2.99,-5.08,3.74,0,1,7
-0.31,-1.97,2.98,0,1,7
-0.76,0.86,6.09,0,1,7
-0.81,0.38,6.65,0,1,7
0.26,-1.89,7.71,0,1,7
-1.51,-3.06,7.15,0,1,7
-3.27,-0.57,8.54,0,1,7
-4.58,0.71,10.16,0,1,7
-4.95,0.38,11.88,0,1,7
-6.77,2.09,12.17,0,1,7
-7.76,2.92,11.36,0,1,7
-9.36,3.3,10.85,0,1,7
-10.68,4.97,12.26,0,1,7
-10.57,5.45,10.98,0,1,7
-13.14,5.88,8.98,0,1,7
-12.28,5.36,7.48,0,1,7
-8.91,1.1,7.61,0,1,7
-9.79,0.19,6.88,0,1,7
-9.71,-0.32,4.56,0,1,7
-8.16,0.4,3.22,0,1,7
-7.22,0.49,4.33,0,1,7
-5.93,0.49,5.41,0,1,7
-5.49,0.05,5.25,0,1,7
-5.38,0.21,4.81,0,1,7
-4.82,-0.68,4.19,0,1,7
-3.97,-0.91,5.45,0,1,7
-4.08,-0.41,5.58,0,1,7
-5.34,-0.17,4.99,0,1,7
-5.9,-0.6,5.34,0,1,7
-5.79,-0.91,6.02,0,1,7
-6.11,-1.38,6.65,0,1,7
-5.27,-2.2,7.01,0,1,7
-5.69,-2.85,8.37,0,1,7
-5.39,-1.51,10.19,0,1,7
-5.67,-1.15,9.82,0,1,7
-6.27,-1.84,8.45,0,1,7
-5.23,-1.51,9.27,0,1,7
-5.63,-1.77,9.34,0,1,7
-5.42,-0.74,7.94,0,1,7
-5.5,-0.8,8.21,0,1,7
-5.03,-1.52,8.43,0,1,7
-4.89,-1.5,8.33,0,1,7
-4.51,-0.96,7.75,0,1,7
-4.35,-0.3,8.0,0,1,7
-4.19,-0.05,8.71,0,1,7
-5.33,-0.02,6.34,0,1,7
-5.55,-0.23,4.92,0,1,7
-4.91,-0.81,5.88,0,1,7
-4.67,-0.62,7.09,0,1,7
-6.06,0.08,9.35,0,1,7
-4.81,-0.36,7.35,0,1,7
-5.63,0.05,7.97,0,1,7
-5.77,-0.08,7.02,0,1,7
-5.73,-0.03,6.92,0,1,7
-5.81,-0.12,7.7,0,1,7
-5.53,0.27,7.4,0,1,7
