Accel_X,Accel_Y,Accel_Z,Fall_Indicator
-9.13,2.65,-1.09, 0
-9.12,1.81,-0.23, 0
-8.55,1.16,-1.99, 0
-9.59,1.10,-3.42, 0
-8.40,0.75,-4.77, 0
-9.09,-0.18,-4.38, 0
-9.46,0.25,-6.03, 0
-8.47,0.75,-6.04, 0
-7.99,2.23,-5.05, 0
-9.10,2.90,-7.36, 0
-10.42,2.63,-8.62, 0
-8.93,0.95,-6.33, 0
-7.11,0.29,-4.23, 0
-5.95,1.38,-3.42, 0
-6.75,2.70,-4.44, 0
-8.17,2.97,-6.63, 0
-8.99,3.36,-8.34, 0
-9.04,2.94,-7.83, 0
-8.36,1.52,-6.54, 0
-7.70,0.78,-5.72, 0
-7.50,1.31,-5.61, 0
-7.90,2.34,-5.69, 0
-8.19,2.92,-5.83, 0
-7.66,3.14,-5.55, 0
-7.30,3.01,-5.62, 0
-7.35,2.92,-5.46, 0
-7.25,2.96,-5.42, 0
-7.53,3.25,-5.45, 0
-7.27,3.83,-6.00, 0
-7.51,4.54,-5.72, 0
-7.24,5.42,-5.07, 0
-7.35,5.77,-4.85, 0
-7.65,5.31,-4.77, 0
-7.62,4.73,-4.52, 0
-7.40,4.44,-4.09, 0
-7.31,4.36,-4.24, 0
-7.64,4.42,-4.21, 0
-7.90,4.66,-4.20, 0
-7.97,4.68,-4.24, 0
-9.32,3.24,-4.28, 0
-10.08,2.34,-1.00, 0
-9.05,2.86,-0.77, 0
-9.83,0.75,-4.42, 0
-11.09,-2.32,-9.55, 0
-10.28,-3.67,-8.80, 0
-7.93,-1.97,-6.02, 0
-6.79,0.84,-3.21, 0
-6.50,2.02,-2.67, 0
-6.94,1.31,-3.31, 0
-7.71,0.95,-4.00, 0
-8.87,1.88,-4.83, 0
-9.55,3.54,-4.65, 0
-9.71,4.63,-4.35, 0
-10.04,4.98,-4.16, 0
-10.05,4.99,-4.20, 0
-9.42,4.53,-3.78, 0
-8.15,3.85,-3.25, 0
-7.29,3.57,-2.66, 0
-6.85,3.83,-2.32, 0
-6.57,4.25,-2.23, 0
-6.57,4.06,-2.02, 0
-6.61,3.27,-2.01, 0
-6.92,2.46,-2.29, 0
-7.03,2.44,-2.97, 0
-7.49,2.81,-3.80, 0
-7.92,3.62,-3.66, 0
-8.53,5.43,-3.39, 0
-12.87,5.58,-3.99, 0
-13.15,6.41,-8.49, 0
-13.08,4.63,-6.83, 0
-8.53,3.91,-2.49, 0
-6.78,3.02,0.19, 0
-7.96,2.84,-0.90, 0
-9.06,1.16,-4.61, 0
-9.11,-0.25,-7.08, 0
-7.32,-1.18,-5.48, 0
-7.15,-0.61,-5.47, 0
-7.45,0.37,-5.13, 0
-7.65,0.01,-4.50, 0
-7.73,-0.79,-4.36, 0
-8.20,-0.55,-4.37, 0
-8.56,1.41,-4.86, 0
-8.86,3.48,-5.84, 0
-9.22,4.46,-6.67, 0
-8.85,4.08,-6.29, 0
-8.07,2.79,-5.29, 0
-7.40,1.61,-4.28, 0
-7.14,0.84,-4.38, 0
-7.46,0.94,-4.87, 0
-7.96,1.33,-5.47, 0
-7.74,1.81,-5.62, 0
-7.38,1.87,-5.22, 0
-6.65,2.26,-4.73, 0
-6.09,3.62,-4.40, 0
-6.61,5.16,-4.21, 0
-7.12,6.15,-4.60, 0
-7.75,5.43,-5.59, 0
-7.33,4.38,-5.58, 0
-9.95,1.68,-5.07, 0
-9.33,1.53,-2.58, 0
-9.31,3.12,-3.40, 0
-13.67,2.20,-7.37, 0
-15.11,1.27,-11.43, 0
-13.07,0.28,-10.88, 0
-9.73,-0.31,-8.00, 0
-6.91,-0.30,-4.47, 0
-4.86,-0.82,-0.02, 0
-3.15,-1.42,2.08, 0
-5.09,-0.70,0.83, 0
-8.15,1.28,-2.35, 0
-10.74,3.89,-5.09, 0
-11.84,4.91,-6.50, 0
-11.35,3.81,-6.76, 0
-9.23,3.54,-4.84, 0
-7.28,2.44,-2.12, 0
-6.36,1.70,-1.06, 0
-6.58,1.84,-1.70, 0
-7.77,1.96,-2.97, 0
-7.85,1.94,-3.73, 0
-7.42,1.61,-3.30, 0
-7.02,1.50,-2.19, 0
-7.97,1.29,-2.42, 0
-8.69,1.35,-3.79, 0
-9.35,1.47,-4.93, 0
-9.29,2.32,-5.02, 0
-8.55,3.32,-4.38, 0
-8.06,4.08,-3.35, 0
-6.79,4.65,-3.20, 0
-6.90,5.49,-3.20, 0
-7.68,6.62,-4.15, 0
-7.84,7.11,-4.51, 0
-7.58,6.98,-3.68, 0
-6.66,5.99,-2.65, 0
-13.29,1.48,-1.75, 0
-13.46,0.74,-8.45, 0
-17.64,-3.97,-12.34, 0
-10.10,-3.61,-7.77, 0
-5.70,1.46,-0.63, 0
