Accel_X,Accel_Y,Accel_Z,Fall_Indicator
-7.76,2.66,-3.17, 0
-7.99,2.83,-3.70, 0
-8.38,3.40,-3.71, 0
-8.14,3.80,-3.50, 0
-7.80,3.16,-3.00, 0
-7.63,3.23,-2.66, 0
-8.31,3.75,-3.76, 0
-9.28,3.25,-5.43, 0
-9.76,2.93,-6.60, 0
-9.22,2.03,-6.77, 0
-8.34,1.45,-5.96, 0
-7.85,1.39,-5.63, 0
-7.04,1.81,-5.36, 0
-6.77,2.07,-4.51, 0
-7.02,2.55,-4.39, 0
-7.00,4.03,-4.61, 0
-9.30,4.90,-7.40, 0
-9.21,4.73,-8.70, 0
-7.93,3.84,-5.88, 0
-6.81,2.43,-5.05, 0
-7.07,2.53,-5.82, 0
-7.53,4.23,-6.47, 0
-8.19,3.94,-5.85, 0
-6.91,2.10,-5.82, 0
-6.40,1.25,-5.97, 0
-6.48,2.22,-5.87, 0
-6.81,3.79,-5.86, 0
-6.95,4.58,-6.44, 0
-7.20,5.33,-5.99, 0
-7.41,5.69,-5.58, 0
-7.00,4.33,-5.61, 0
-7.03,4.06,-6.18, 0
-6.15,4.37,-7.07, 0
-7.94,4.46,-5.71, 0
-7.60,4.09,-6.09, 0
-7.42,3.92,-4.79, 0
-7.29,3.79,-4.27, 0
-7.49,2.92,-4.39, 0
-7.66,2.13,-5.03, 0
-8.16,2.01,-5.33, 0
-8.46,2.06,-5.34, 0
-6.81,2.37,-6.21, 0
-7.90,2.88,-4.60, 0
-8.15,2.73,-5.12, 0
-8.22,2.58,-5.26, 0
-8.18,2.52,-5.17, 0
-8.20,2.96,-4.62, 0
-7.67,3.31,-4.96, 0
-8.63,3.34,-4.60, 0
-8.31,3.30,-5.35, 0
-8.50,3.29,-5.95, 0
-8.51,3.02,-5.64, 0
-8.45,2.91,-4.38, 0
-7.66,3.05,-3.11, 0
-8.20,3.89,-3.32, 0
-8.32,4.61,-3.01, 0
-8.48,4.83,-3.79, 0
-8.41,4.91,-3.32, 0
-7.94,4.72,-2.81, 0
-8.12,4.32,-3.02, 0
-8.54,3.91,-3.37, 0
-8.35,3.37,-3.41, 0
-7.94,2.97,-3.20, 0
-7.99,2.84,-3.35, 0
-8.12,2.94,-2.67, 0
-8.12,3.32,-3.06, 0
-8.40,3.47,-3.30, 0
-8.39,3.73,-2.96, 0
-8.21,3.76,-2.79, 0
-8.49,3.52,-2.90, 0
-8.55,3.25,-3.17, 0
-8.54,3.01,-2.80, 0
-8.73,3.67,-3.66, 0
-7.90,4.16,-2.90, 0
-7.71,4.35,-2.72, 0
-7.94,4.36,-2.86, 0
-8.27,4.22,-3.36, 0
-7.95,4.02,-3.34, 0
-8.11,4.25,-3.42, 0
-7.37,4.80,-2.78, 0
-7.25,5.09,-3.02, 0
-8.35,5.10,-4.27, 0
-8.03,3.88,-3.90, 0
-7.63,3.69,-3.44, 0
-8.12,4.18,-3.47, 0
-7.66,4.40,-3.19, 0
-7.87,4.52,-3.73, 0
-8.42,4.85,-4.06, 0
-7.88,4.05,-3.96, 0
-8.26,3.42,-4.14, 0
-8.79,3.06,-4.05, 0
-9.31,2.54,-4.97, 0
-8.23,2.26,-5.82, 0
-7.55,2.10,-5.58, 0
-8.28,3.36,-5.05, 0
-8.31,3.89,-4.89, 0
-8.05,3.90,-4.34, 0
-8.07,4.06,-3.99, 0
-7.91,3.77,-3.96, 0
-7.95,3.18,-4.55, 0
-8.21,3.01,-5.29, 0
-7.96,3.34,-5.02, 0
-7.99,3.45,-4.66, 0
-7.82,3.51,-4.33, 0
-8.02,3.31,-4.49, 0
-8.07,2.96,-4.72, 0
-7.84,2.75,-4.72, 0
-8.06,2.62,-5.01, 0
-8.04,2.59,-4.97, 0
-7.49,2.58,-5.35, 0
-8.22,2.66,-4.88, 0
-8.00,3.10,-4.75, 0
-7.88,3.17,-5.04, 0
-7.54,3.50,-5.47, 0
-7.38,3.37,-5.55, 0
-7.44,3.16,-5.49, 0
-7.59,3.09,-5.44, 0
-7.68,3.30,-5.26, 0
-7.64,3.73,-5.20, 0
-7.56,4.18,-4.98, 0
-7.61,4.39,-5.08, 0
-7.70,3.93,-5.43, 0
-7.65,3.27,-5.53, 0
-7.53,3.06,-5.36, 0
-7.35,3.36,-5.20, 0
-7.24,3.99,-5.11, 0
-7.48,4.39,-5.05, 0
-7.41,4.35,-4.93, 0
-7.47,4.32,-4.84, 0
-7.50,4.42,-4.74, 0
-7.53,4.41,-4.62, 0
-7.53,4.07,-4.85, 0
-7.59,3.68,-5.02, 0
-7.45,3.46,-5.11, 0
-7.19,3.48,-5.07, 0
-7.47,3.76,-5.28, 0
-7.36,3.90,-5.28, 0
-7.36,3.82,-5.07, 0
-7.30,3.91,-4.98, 0
-7.24,3.90,-5.07, 0
-7.08,4.29,-4.89, 0
-6.91,4.45,-5.21, 0
-7.97,3.99,-5.31, 0
-8.56,4.06,-5.70, 0
-9.71,5.04,-5.16, 0
-10.14,4.57,-5.70, 0
-9.49,3.10,-6.19, 0
-8.78,1.96,-6.31, 0
-7.98,1.24,-6.19, 0
-7.70,1.17,-5.98, 0
-7.63,1.94,-5.59, 0
-7.84,2.48,-4.83, 0
-8.26,2.04,-4.55, 0
-7.99,1.38,-4.21, 0
-7.71,0.61,-4.72, 0
-7.66,0.34,-5.15, 0
-7.88,1.02,-4.78, 0
-9.20,3.01,-4.99, 0
-9.97,4.84,-4.27, 0
-8.79,5.12,-3.32, 0
-7.99,3.79,-3.20, 0
-8.25,2.65,-4.08, 0
-8.04,1.87,-4.93, 0
-8.07,1.75,-5.29, 0
-7.78,2.45,-4.61, 0
-7.49,2.77,-3.78, 0
-7.45,3.03,-3.34, 0
-7.56,3.66,-3.31, 0
-7.24,3.86,-3.27, 0
-7.07,4.15,-3.27, 0
-7.34,4.37,-3.25, 0
-7.53,4.65,-2.98, 0
-7.48,4.71,-2.30, 0
-7.48,4.44,-1.74, 0
-8.16,4.40,-2.31, 0
-8.54,4.73,-3.26, 0
-8.71,4.79,-3.77, 0
-8.84,3.79,-4.46, 0
-9.02,2.80,-4.27, 0
-11.47,2.55,-7.26, 0
-13.31,1.58,-11.01, 0
-10.14,0.40,-9.45, 0
-6.04,0.51,-3.95, 0
-5.83,3.08,-2.23, 0
-6.57,4.31,-2.95, 0
-8.82,4.11,-3.34, 0
-9.40,4.41,-4.60, 0
-8.09,2.65,-6.65, 0
-6.42,1.48,-8.08, 0
-6.37,1.70,-6.65, 0
-6.45,2.38,-5.56, 0
-7.19,2.31,-5.51, 0
-7.74,2.50,-6.10, 0
-7.81,2.83,-6.08, 0
-9.37,3.79,-3.87, 0
-7.86,3.71,-6.19, 0
